Dataset,Model,Tuner,Run,F1
CervicalCancer,SVM,Bayes,7,0.9439
CervicalCancer,SVM,Bayes,8,0.9568
CervicalCancer,SVM,Bayes,9,0.9641
CervicalCancer,SVM,Bayes,10,0.9666
CervicalCancer,LightGBM,No-Tuning,1,0.9237
CervicalCancer,LightGBM,No-Tuning,2,0.9555
CervicalCancer,LightGBM,No-Tuning,3,0.9471
CervicalCancer,LightGBM,No-Tuning,4,0.9521
CervicalCancer,LightGBM,No-Tuning,5,0.9507
CervicalCancer,LightGBM,No-Tuning,6,0.9521
CervicalCancer,LightGBM,No-Tuning,7,0.9332
CervicalCancer,LightGBM,No-Tuning,8,0.9449
CervicalCancer,LightGBM,No-Tuning,9,0.9572
CervicalCancer,LightGBM,No-Tuning,10,0.9449
CervicalCancer,LightGBM,Grid,1,0.9323
CervicalCancer,LightGBM,Grid,2,0.9666
CervicalCancer,LightGBM,Grid,3,0.9421
CervicalCancer,LightGBM,Grid,4,0.9641
CervicalCancer,LightGBM,Grid,5,0.9439
CervicalCancer,LightGBM,Grid,6,0.9473
CervicalCancer,LightGBM,Grid,7,0.9473
CervicalCancer,LightGBM,Grid,8,0.9616
CervicalCancer,LightGBM,Grid,9,0.9824
CervicalCancer,LightGBM,Grid,10,0.9717
CervicalCancer,LightGBM,Random,1,0.9323
CervicalCancer,LightGBM,Random,2,0.9521
CervicalCancer,LightGBM,Random,3,0.9572
CervicalCancer,LightGBM,Random,4,0.9641
CervicalCancer,LightGBM,Random,5,0.9485
CervicalCancer,LightGBM,Random,6,0.9473
CervicalCancer,LightGBM,Random,7,0.9413
CervicalCancer,LightGBM,Random,8,0.9616
CervicalCancer,LightGBM,Random,9,0.9824
CervicalCancer,LightGBM,Random,10,0.9717
CervicalCancer,LightGBM,Bayes,1,0.9368
CervicalCancer,LightGBM,Bayes,2,0.9604
CervicalCancer,LightGBM,Bayes,3,0.9572
CervicalCancer,LightGBM,Bayes,4,0.9572
CervicalCancer,LightGBM,Bayes,5,0.9394
CervicalCancer,LightGBM,Bayes,6,0.9473
CervicalCancer,LightGBM,Bayes,7,0.9473
CervicalCancer,LightGBM,Bayes,8,0.9616
CervicalCancer,LightGBM,Bayes,9,0.977
CervicalCancer,LightGBM,Bayes,10,0.9717
